,collisions,step,episode,reward
739,8.0,43391,740,-45065.0
740,4.0,43432,741,-39070.0
741,2.0,43493,742,-34202.5
742,6.0,43562,743,-29805.5
743,4.0,43628,744,-31775.0
744,7.0,43695,745,-30198.0
745,7.0,43768,746,-29204.0
746,12.0,43837,747,-34829.5
747,3.0,43880,748,-44721.5
748,9.0,43945,749,-38062.0
749,4.0,43998,750,-37007.0
750,9.0,44051,751,-33308.0
751,5.0,44118,752,-28905.5
752,10.0,44186,753,-29877.5
753,4.0,44233,754,-38134.5
754,11.0,44304,755,-26890.0
755,5.0,44364,756,-31099.0
756,10.0,44403,757,-43510.5
757,15.0,44474,758,-32146.0
758,7.0,44515,759,-42625.0
759,6.0,44554,760,-39025.5
760,6.0,44621,761,-26773.5
761,7.0,44682,762,-31897.0
762,7.0,44730,763,-38142.0
763,4.0,44777,764,-35758.5
764,11.0,44854,765,-28751.0
765,10.0,44921,766,-30646.5
766,6.0,44976,767,-32684.0
767,8.0,45032,768,-32062.5
768,4.0,45077,769,-42566.5
769,10.0,45152,770,-29495.5
770,12.0,45210,771,-35704.0
771,7.0,45259,772,-36451.5
772,11.0,45321,773,-33390.5
773,6.0,45375,774,-34314.5
774,7.0,45432,775,-48804.5
775,7.0,45494,776,-39464.5
776,10.0,45564,777,-29378.5
777,9.0,45638,778,-32078.5
778,6.0,45705,779,-31466.0
779,8.0,45751,780,-33706.0
780,5.0,45793,781,-42428.0
781,2.0,45834,782,-33921.0
782,7.0,45894,783,-33279.0
783,7.0,45959,784,-33865.5
784,4.0,46003,785,-36618.0
785,5.0,46047,786,-41301.0
786,6.0,46092,787,-39994.5
787,7.0,46148,788,-32654.0
788,5.0,46198,789,-34227.0
789,7.0,46270,790,-30588.0
790,6.0,46329,791,-29698.0
791,3.0,46373,792,-38483.0
792,4.0,46424,793,-37035.5
793,4.0,46475,794,-33522.0
794,5.0,46519,795,-40289.5
795,5.0,46564,796,-37475.0
796,8.0,46608,797,-40093.0
797,4.0,46648,798,-39404.5
798,5.0,46707,799,-29487.0
799,7.0,46765,800,-33341.0
800,11.0,46818,801,-34139.0
801,6.0,46884,802,-30066.0
802,7.0,46953,803,-34027.0
803,4.0,47006,804,-34366.5
804,10.0,47071,805,-33581.0
805,4.0,47124,806,-31473.0
806,10.0,47183,807,-43772.0
807,4.0,47220,808,-45515.0
808,5.0,47263,809,-45049.5
809,6.0,47334,810,-31159.0
810,5.0,47400,811,-57807.5
811,6.0,47453,812,-37590.0
812,8.0,47497,813,-42494.5
813,7.0,47558,814,-35580.0
814,10.0,47630,815,-34728.0
815,6.0,47687,816,-46648.5
816,6.0,47739,817,-43768.5
817,7.0,47798,818,-32149.0
818,4.0,47848,819,-34264.0
819,3.0,47900,820,-42311.0
820,4.0,47967,821,-29384.0
