,collisions,step,episode_steps,reward,wait_average,accumulated_wait,throughput,stops
194,28.0,22276,283,-840335.5,459.70213347921225,840335.5,1828,0.9173960612691466
195,34.0,22359,83,-439310.5,240.0603825136612,439310.5,1830,0.8989071038251366
196,36.0,22485,126,-297295.5,171.8471098265896,297295.5,1730,0.9167630057803469
197,24.0,22875,390,-1020263.5,569.3434709821429,1020263.5,1792,0.9029017857142857
198,24.0,22940,65,-308385.5,178.0516743648961,308385.5,1732,0.8695150115473441
199,59.0,23241,301,-1179974.0,680.8851702250432,1179974.0,1733,0.7426428159261397
200,24.0,23501,260,-563182.5,318.5421380090498,563182.5,1768,0.9111990950226244
201,38.0,23627,126,-229223.0,130.09250851305336,229223.0,1762,0.8967082860385925
202,17.0,23722,95,-540209.0,291.8471096704484,540209.0,1851,0.9189627228525121
203,32.0,23827,105,-220509.5,125.78978893325727,220509.5,1753,0.8830576155162578
204,31.0,23957,130,-260014.5,147.98776323278315,260014.5,1757,0.8907228229937393
205,30.0,24049,92,-322534.0,184.83323782234956,322534.0,1745,0.8911174785100286
206,14.0,24154,105,-1051036.0,589.8069584736252,1051036.0,1782,0.9388327721661055
207,33.0,24279,125,-242762.5,139.84014976958525,242762.5,1736,0.9193548387096774
208,40.0,24460,181,-357581.5,204.21559109080525,357581.5,1751,0.9017704169046259
209,31.0,24598,138,-545140.5,304.20786830357144,545140.5,1792,0.8392857142857143
210,32.0,24683,85,-354541.5,202.9430452203778,354541.5,1747,0.8786491127647396
211,39.0,24832,149,-460868.0,263.65446224256294,460868.0,1748,0.8770022883295194
212,62.0,25019,187,-591176.0,335.51418842224746,591176.0,1762,0.9120317820658342
213,43.0,25174,155,-450656.0,254.03382187147687,450656.0,1774,0.910935738444194
214,45.0,25397,223,-832623.5,467.76601123595503,832623.5,1780,0.9320224719101123
215,40.0,25513,116,-400905.5,222.47807991120976,400905.5,1802,0.8562708102108768
216,30.0,25693,180,-588003.5,329.78323051037574,588003.5,1783,0.7661245092540662
217,49.0,25812,119,-501930.5,276.39344713656385,501930.5,1816,0.8392070484581498
218,42.0,26003,191,-545812.0,309.5927396483267,545812.0,1763,0.8961996596710153
219,33.0,26099,96,-522208.5,302.02920763447077,522208.5,1729,0.8490456911509543
220,32.0,26191,92,-641992.0,369.385500575374,641992.0,1738,0.833716915995397
221,36.0,26469,278,-757302.5,449.43768545994067,757302.5,1685,0.8985163204747775
222,31.0,26561,92,-463853.0,261.3256338028169,463853.0,1775,0.8822535211267606
223,22.0,26689,128,-323557.0,191.34062684801893,323557.0,1691,0.8823181549379066
224,29.0,26913,224,-567082.0,339.3668461998803,567082.0,1671,0.8306403351286654
225,28.0,27025,112,-478923.0,268.15397536394175,478923.0,1786,0.7642777155655095
226,40.0,27217,192,-495067.0,284.0315547905909,495067.0,1743,0.897877223178428
227,32.0,27420,203,-997113.0,557.9815332960269,997113.0,1787,0.8293228875209849
228,36.0,27569,149,-327641.0,182.4281737193764,327641.0,1796,0.811804008908686
229,33.0,27894,325,-993986.0,545.8462383305875,993986.0,1821,0.900054914881933
230,25.0,27993,99,-296817.5,173.17240373395566,296817.5,1714,0.8768961493582264
231,59.0,28154,161,-553035.5,316.92578796561605,553035.5,1745,0.9318051575931232
232,35.0,28306,152,-394624.5,217.5438257993385,394624.5,1814,0.8919514884233738
233,28.0,28806,500,-1833043.5,1028.6439393939395,1833043.5,1782,0.9427609427609428
234,28.0,28980,174,-666148.0,384.83419988445985,666148.0,1731,0.8428653957250144
235,28.0,29044,64,-268196.5,151.43788819875778,268196.5,1771,0.8396386222473179
236,20.0,29166,122,-459514.5,256.71201117318435,459514.5,1790,0.8497206703910615
237,29.0,29337,171,-538649.0,294.8270388615216,538649.0,1827,0.8440065681444991
238,62.0,29631,294,-889725.0,514.5893580104106,889725.0,1729,0.9109311740890689
239,27.0,29992,361,-1160185.0,644.5472222222222,1160185.0,1800,0.9066666666666666
240,20.0,30058,66,-304810.5,178.66969519343493,304810.5,1706,0.8604923798358733
241,21.0,30278,220,-762891.0,424.77227171492206,762891.0,1796,0.8307349665924276
242,27.0,30412,134,-815837.5,456.5402909904868,815837.5,1787,0.8645775041969782
243,27.0,30486,74,-327544.0,184.73998871968416,327544.0,1773,0.8460236886632826
244,64.0,30747,261,-954603.5,540.2396717600453,954603.5,1767,0.9286926994906621
245,46.0,30968,221,-816443.5,446.6321115973742,816443.5,1828,0.8320568927789934
246,28.0,31073,105,-395778.5,219.0251798561151,395778.5,1807,0.8527946873270614
